SUPPORT,CONFIDENCE,LIFT,LHS,RHS,COUNT
0.03618,0.4666666666666666,3,1245,"(1348,)",14
0.03618,0.5,3,1034,"(703,)",14
0.03618,0.2857142857142857,3,697,"(700,)",14
0.03618,0.7368421052631579,5,834,"(1247,)",14
0.03618,0.2692307692307692,5,1247,"(834,)",14
0.03618,0.3684210526315789,5,633,"(635,)",14
0.03618,0.2121212121212121,3,951,"(238,)",14
0.03618,0.25925925925925924,3,1266,"(1238,)",14
0.03618,0.5185185185185185,3,238,"(951,)",14
0.03618,0.5384615384615384,3,1238,"(1266,)",14
0.03618,0.25925925925925924,2,953,"(1348,)",14
0.03618,0.8749999999999999,21,367,"(1526,)",14
0.03618,0.8749999999999999,21,1526,"(367,)",14
0.03618,0.9333333333333332,15,1527,"(1085,)",14
0.03618,0.43749999999999994,3,954,"(953,)",14
0.03618,0.29166666666666663,2,1348,"(953,)",14
0.03618,0.29166666666666663,2,1348,"(1030,)",14
0.03618,0.25925925925925924,2,953,"(65,)",14
0.03618,0.3783783783783784,2,65,"(951,)",14
0.03618,0.3333333333333333,2,1118,"(712,)",14
0.03359,0.325,2,849,"(1266,)",12
0.03101,0.16216216216216217,2,982,"(641,)",12
0.03359,0.24074074074074076,1,1266,"(1120,)",12
0.03359,0.24074074074074076,2,1266,"(849,)",12
0.03359,0.196969696969697,3,951,"(307,)",12
0.03101,0.75,22,364,"(1321,)",12
0.03101,0.923076923076923,22,1321,"(364,)",12
0.03359,0.65,9,249,"(253,)",12
0.03359,0.5909090909090909,3,307,"(951,)",12
0.03359,0.20967741935483875,1,1120,"(1266,)",12
0.03101,0.75,19,367,"(1325,)",12
0.03101,0.8,19,1325,"(367,)",12
0.03101,0.5454545454545454,3,952,"(956,)",12
0.03359,0.5,9,253,"(249,)",12
0.03101,0.5454545454545454,3,952,"(951,)",12
0.03359,0.20967741935483875,3,1120,"(711,)",12
0.03359,0.4814814814814815,3,711,"(1120,)",12
0.03359,0.24074074074074076,2,1030,"(1118,)",12
0.03359,0.30952380952380953,2,1118,"(1030,)",12
0.03359,0.18309859154929578,1,1056,"(697,)",12
0.03359,0.19402985074626866,2,956,"(238,)",12
0.03359,0.4814814814814815,2,238,"(956,)",12
0.03101,0.2608695652173913,1,710,"(982,)",12
0.03359,0.2653061224489796,1,697,"(1056,)",12
0.03101,0.32432432432432434,1,1370,"(951,)",12
0.03101,0.18181818181818182,1,951,"(1370,)",12
0.03359,0.2653061224489796,1,697,"(953,)",12
0.03359,0.24074074074074076,1,953,"(697,)",12
0.03101,0.3157894736842105,1,633,"(982,)",12
0.03101,0.16216216216216217,1,982,"(633,)",12
0.03101,0.16216216216216217,1,982,"(1030,)",12
0.03101,0.5,14,972,"(970,)",12
0.03101,0.923076923076923,14,970,"(972,)",12
0.03359,0.21666666666666667,2,703,"(633,)",12
0.03359,0.34210526315789475,2,633,"(703,)",12
0.03359,0.33333333333333337,2,366,"(953,)",12
0.03359,0.19402985074626866,1,956,"(64,)",12
0.03359,0.4814814814814815,2,1027,"(956,)",12
0.03359,0.19402985074626866,2,956,"(1027,)",12
0.03359,0.34210526315789475,1,61,"(956,)",12
0.03359,0.34210526315789475,1,1026,"(956,)",12
0.03359,0.19402985074626866,1,956,"(61,)",12
0.03359,0.19402985074626866,1,956,"(1026,)",12
0.03101,0.18181818181818182,3,951,"(952,)",12
0.03359,0.325,1,64,"(956,)",12
0.03359,0.34210526315789475,1,633,"(1056,)",12
0.03101,0.17910447761194032,1,956,"(65,)",12
0.03359,0.65,4,1279,"(712,)",12
0.03359,0.6842105263157895,5,707,"(697,)",12
0.03359,0.2653061224489796,5,697,"(707,)",12
0.03101,0.2142857142857143,1,712,"(705,)",12
0.03101,0.2553191489361702,1,705,"(712,)",12
0.03101,0.4615384615384615,8,1238,"(842,)",12
0.03101,0.36363636363636365,3,700,"(366,)",12
0.03101,0.3076923076923077,3,366,"(700,)",12
0.03101,0.5454545454545454,8,842,"(1238,)",12
0.03101,0.2448979591836735,1,1062,"(953,)",12
0.03101,0.2222222222222222,1,953,"(1062,)",12
0.03101,0.4615384615384615,5,626,"(641,)",12
0.03101,0.2,1,703,"(951,)",12
0.03101,0.4,5,641,"(626,)",12
0.03359,0.2653061224489796,1,1062,"(956,)",12
0.03101,0.4285714285714286,4,1319,"(1370,)",12
0.03101,0.32432432432432434,4,1370,"(1319,)",12
0.03359,0.19402985074626866,1,956,"(1062,)",12
